Date,Daily Open,Daily High,Daily Low,Daily Close,Volume
2021-01-25 00:00:00-05:00,1308.75,1352.25,1298.0,1343.5,150390
2021-01-26 00:00:00-05:00,1348.25,1376.5,1333.5,1370.25,116570
2021-01-27 00:00:00-05:00,1376.0,1394.75,1364.5,1374.75,176959
2021-01-28 00:00:00-05:00,1371.75,1391.25,1345.5,1353.25,147312
2021-01-29 00:00:00-05:00,1353.25,1376.75,1335.5,1370.0,140139
2021-02-01 00:00:00-05:00,1375.0,1383.0,1349.25,1365.25,122610
2021-02-02 00:00:00-05:00,1366.0,1372.0,1341.5,1354.75,101229
2021-02-03 00:00:00-05:00,1354.5,1372.5,1342.5,1371.25,104412
2021-02-04 00:00:00-05:00,1374.0,1381.5,1364.5,1372.5,105595
2021-02-05 00:00:00-05:00,1370.75,1382.75,1365.5,1366.75,125252
2021-02-08 00:00:00-05:00,1368.75,1392.5,1364.75,1387.75,132805
2021-02-09 00:00:00-05:00,1391.0,1409.5,1377.5,1401.75,183992
2021-02-10 00:00:00-05:00,1404.5,1404.75,1352.25,1354.0,171264
2021-02-11 00:00:00-05:00,1352.75,1379.75,1337.25,1367.5,133481
2021-02-12 00:00:00-05:00,1368.5,1377.25,1362.0,1372.0,89711
2021-02-16 00:00:00-05:00,1385.75,1394.0,1373.75,1384.75,115890
2021-02-17 00:00:00-05:00,1386.25,1390.0,1376.25,1383.75,75855
2021-02-18 00:00:00-05:00,1385.0,1391.25,1370.0,1375.0,114634
2021-02-19 00:00:00-05:00,1376.25,1388.75,1366.5,1377.25,140822
2021-02-22 00:00:00-05:00,1384.75,1388.5,1371.0,1383.75,124120
2021-02-23 00:00:00-05:00,1383.75,1425.0,1380.75,1406.0,88637
2021-02-24 00:00:00-05:00,1407.25,1426.5,1406.75,1423.75,66143
2021-02-25 00:00:00-05:00,1423.5,1443.0,1391.75,1406.0,44673
2021-02-26 00:00:00-05:00,1404.0,1408.25,1380.0,1405.25,5701
2021-03-01 00:00:00-05:00,1415.75,1422.0,1392.0,1392.5,1258
2021-03-02 00:00:00-05:00,1395.0,1416.0,1383.5,1414.0,680
2021-03-03 00:00:00-05:00,1412.0,1417.5,1400.25,1410.75,619
2021-03-04 00:00:00-05:00,1418.75,1441.0,1409.5,1415.25,385
2021-03-05 00:00:00-05:00,1414.25,1437.25,1414.25,1434.25,171
2021-03-08 00:00:00-05:00,1447.0,1453.5,1436.0,1437.75,149
